"Audit No.", "Audit Title", "Status"
"S3.3.2", "Ensure ICMP redirects are not accepted", "Fail"
"S3.3.3", "Ensure secure ICMP redirects are not accepted", "Fail"
"S3.3.4", "Ensure suspicious packets are logged", "Fail"
"S3.3.5", "Ensure broadcast ICMP requests are ignored", "Fail"
"S3.3.6", "Ensure bogus ICMP responses are ignored", "Fail"
"S3.3.7", "Ensure Reverse Path Filtering is enabled", "Fail"
"S3.3.8", "Ensure TCP SYN Cookies is enabled", "Fail"
"S3.3.9", "Ensure IPv6 router advertisements are not accepted", "Fail"
"S3.4.1", "Ensure DCCP is disabled", "Fail"
"S3.4.2", "Ensure SCTP is disabled", "Fail"
"S3.4.3", "Ensure RDS is disabled", "Fail"
"S3.4.4", "Ensure TIPC is disabled", "Fail"
"S3.5.1.1", "Ensure ufw is installed", "Pass"
"S3.5.1.2", "Ensure iptables-persistent is not installed with ufw", "Pass"
"S3.5.1.3", "Ensure ufw service is enabled", "Fail"
"S3.5.1.4", "Ensure ufw loopback traffic is configured", "Pass"
"S3.5.1.7", "Ensure ufw default deny firewall policy", "Fail"
"S3.5.2.1", "Ensure nftables is installed", "Fail"
"S3.5.2.2", "Ensure ufw is uninstalled or disabled with nftables", "Fail"
"S3.5.2.4", "Ensure a nftables table exists", "Fail"
"S3.5.2.5", "Ensure nftables base chains exist", "Fail"
"S3.5.2.6", "Ensure nftables loopback traffic is configured", "Fail"
"S3.5.2.8", "Ensure nftables default deny firewall policy", "Fail"
"S3.5.2.9", "Ensure nftables service is enabled", "Fail"
"S3.5.2.10", "Ensure nftables rules are permanent", "Fail"
"S3.5.3.1.1", "Ensure iptables packages are installed", "Fail"
"S3.5.3.1.2", "Ensure nftables is not installed with iptables", "Fail"
"S3.5.3.1.3", "Ensure ufw is uninstalled or disabled with iptables", "Pass"
"S3.5.3.2.1", "Ensure iptables loopback traffic is configured", "Pass"
"S3.5.3.2.3", "Ensure iptables default deny firewall policy", "Fail"
"S3.5.3.2.4", "Ensure iptables firewall rules exist for all open ports", "Pass"
"S3.5.3.3.1", "Ensure ip6tables loopback traffic is configured", "Pass"
"S3.5.3.3.3", "Ensure ip6tables default deny firewall policy", "Fail"
"S3.5.3.3.4", "Ensure ip6tables firewall rules exist for all open ports", "Pass"
"S4.1.1.1", "Ensure auditd is installed", "Pass"
"S4.1.1.2", "Ensure auditd service is enabled", "Fail"
"S4.1.1.3", "Ensure auditing for processes that start prior to auditd is enabled", "Fail"
"S4.1.1.4", "Ensure audit_backlog_limit is sufficient", "Fail"
"S4.1.2.3", "Ensure system is disabled when audit logs are full", "Fail"
"S4.1.4", "Ensure events that modify user/group information are collected", "Fail"
"S4.1.5", "Ensure events that modify the system`s network environment are collected", "Fail"
"S4.1.6", "Ensure events that modify the system`s Mandatory Access Controls are collected", "Pass"
"S4.1.7", "Ensure login and logout events are collected", "Fail"
"S4.1.8", "Ensure session initiation information is collected", "Fail"
"S4.1.9", "Ensure discretionary access control permission modification events are collected", "Fail"
"S4.1.10", "Ensure unsuccessful unauthorized file access attempts are collected", "Fail"
"S4.1.12", "Ensure successful file system mounts are collected", "Fail"
"S4.1.13", "Ensure file deletion events by users are collected", "Fail"
"S4.1.14", "Ensure changes to system administration scope (sudoers) is collected", "Fail"
"S4.1.15", "Ensure system administrator command executions (sudo) are collected", "Fail"
"S4.1.16", "Ensure kernel module loading and unloading is collected", "Fail"
"S4.1.17", "Ensure the audit configuration is immutable", "Fail"
"S4.2.1.1", "Ensure rsyslog is installed", "Pass"
"S4.2.1.2", "Ensure rsyslog Service is enabled", "Pass"
"S4.2.1.4", "Ensure rsyslog default file permissions configured", "Pass"
"S4.2.1.5", "Ensure rsyslog is configured to send logs to a remote log host", "Pass"
"S4.2.2.1", "Ensure journald is configured to send logs to rsyslog", "Pass"
"S4.2.2.2", "Ensure journald is configured to compress large log files", "Pass"
"S4.2.2.3", "Ensure journald is configured to write logfiles to persistent disk", "Pass"
"S4.2.3", "Ensure permissions on all logfiles are configured", "Pass"
"S4.4", "Ensure logrotate assigns appropriate permissions", "Fail"
"S5.1.1", "Ensure cron daemon is enabled and running", "Pass"
"S5.1.2", "Ensure permissions on /etc/crontab are configured", "Fail"
"S5.1.3", "Ensure permissions on /etc/cron.hourly are configured", "Fail"
"S5.1.4", "Ensure permissions on /etc/cron.daily are configured", "Fail"
"S5.1.5", "Ensure permissions on /etc/cron.weekly are configured", "Fail"
"S5.1.6", "Ensure permissions on /etc/cron.monthly are configured", "Fail"
"S5.1.7", "Ensure permissions on /etc/cron.d are configured", "Fail"
"S5.1.8", "Ensure cron is restricted to authorized users", "Fail"
"S5.1.9", "Ensure at is restricted to authorized users", "Fail"
"S5.2.1", "Ensure sudo is installed", "Pass"
"S5.2.2", "Ensure sudo commands use pty", "Fail"
"S5.2.3", "Ensure sudo log file exists", "Fail"
"S5.3", "Configure SSH Server", "Not Installed"
"S5.4.1", "Ensure password creation requirements are configured", "Fail"
"S5.4.2", "Ensure lockout for failed password attempts is configured", "Fail"
"S5.4.3", "Ensure password reuse is limited", "Fail"
"S5.4.4", "Ensure password hashing algorithm is SHA-512", "Fail"
"S5.5.1.1", "Ensure minimum days between password changes is configured", "Fail"
"S5.5.1.2", "Ensure password expiration is 365 days or less", "Fail"
"S5.5.1.3", "Ensure password expiration warning days is 7 or more", "Fail"
"S5.5.1.4", "Ensure inactive password lock is 30 days or less", "Fail"
"S5.5.1.5", "Ensure all users last password change date is in the past", "Pass"
"S5.5.2", "Ensure system accounts are secured", "Pass"
"S5.5.3", "Ensure default group for the root account is GID 0", "Pass"
"S5.5.4", "Ensure default user umask is 027 or more restrictive", "Fail"
"S5.5.5", "Ensure default user shell timeout is900 seconds or less", "Fail"
"S6.1.2", "Ensure permissions on /etc/passwd are configured", "Pass"
"S6.1.3", "Ensure permissions on /etc/passwd- are configured", "Fail"
"S6.1.4", "Ensure permissions on /etc/group are configured", "Pass"
"S6.1.5", "Ensure permissions on /etc/group- are configured", "Pass"
"S6.1.6", "Ensure permissions on /etc/shadow are configured", "Pass"
"S6.1.7", "Ensure permissions on /etc/shadow- are configured", "Pass"
"S6.1.8", "Ensure permissions on /etc/gshadow are configured", "Pass"
"S6.1.9", "Ensure permissions on /etc/gshadow- are configured", "Fail"
"S6.1.11", "Ensure no unowned files or directories exist", "Fail"
"S6.1.12", "Ensure no ungrouped files or directories exist", "Fail"
"S6.2.1", "Ensure accounts in /etc/passwd use shadowed passwords", "Pass"
"S6.2.2", "Ensure password fields are not empty", "Pass"
"S6.2.3", "Ensure all groups in /etc/passwd exist in /etc/group", "Pass"
"S6.2.4", "Ensure all users` home directories exist", "Pass"
"S6.2.5", "Ensure users own their home directories", "Pass"
"S6.2.6", "Ensure users` home directories permissions are 750 or more restrictive", "Pass"
"S6.2.7", "Ensure users` dot files are not group or world writable", "Pass"
"S6.2.8", "Ensure no users have .netrc files", "Pass"
"S6.2.9", "Ensure no users have .forward files", "Pass"
"S6.2.10", "Ensure no users have .rhosts files", "Pass"
"S6.2.11", "Ensure root is the only UID 0 account", "Pass"
"S6.2.12", "Ensure root PATH Integrity", "Pass"
"S6.2.13", "Ensure no duplicate UIDs exist", "Pass"
"S6.2.14", "Ensure no duplicate GIDs exist", "Pass"
"S6.2.15", "Ensure no duplicate user names exist", "Pass"
"S6.2.16", "Ensure no duplicate group names exist", "Pass"
"S6.2.17", "Ensure shadow group is empty", "Pass"
